CAPEC ID,Description,Cosine Similarity,Severity,Prerequisites
521,Hardware Design Specifications Are Altered,0.0,High,::Advanced knowledge of hardware capabilities of a manufacturer's product.::Access to the manufacturer's documentation.::
568,Capture Credentials via Keylogger,0.0,High,"::The ability to install the keylogger, either in person or remote.::"
441,Malicious Logic Insertion,0.0,High,::Access to the component currently deployed at a victim location.::
422,Influence Perception of Commitment and Consistency,0.0,Low,::The adversary must have the means and knowledge of how to communicate with the target in some manner.::
442,Infected Software,0.0,High,::Access to the software currently deployed at a victim location. This access is often obtained by leveraging another attack pattern to gain permissions that the adversary wouldn't normally have.::
562,Modify Shared File,0.0,,
524,Rogue Integration Procedures,0.0,High,::Physical access to an integration facility that prepares the system before it is deployed at the victim location.::
321,TCP Sequence Number Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
528,XML Flood,0.0,Medium,::The target must receive and process XML transactions.::An adverssary must possess the ability to generate a large amount of XML based messages to send to the target service.::
533,Malicious Manual Software Update,0.0,High,::Advanced knowledge about the download and update installation processes.::Advanced knowledge about the deployed system and its various software subcomponents and processes.::
540,Overread Buffers,0.0,High,"::For this type of attack to be successful, a few prerequisites must be met. First, the targeted software must be written in a language that enables fine grained buffer control. (e.g., c, c++) Second, the targeted software must actually perform buffer operations and inadequately perform bounds-checking on those buffer operations. Finally, the adversary must have the capability to influence the input that guides these buffer operations.::"
415,Pretexting via Phone,0.0,Low,
39,Manipulating Opaque Client-based Data Tokens,0.0,Medium,"::An attacker already has some access to the system or can steal the client based data tokens from another user who has access to the system.::For an Attacker to viably execute this attack, some data (later interpreted by the application) must be held client-side in a way that can be manipulated without detection. This means that the data or tokens are not CRCd as part of their value or through a separate meta-data store elsewhere.::"
383,Harvesting Information via API Event Monitoring,0.0,Low,::The target software is utilizing application framework APIs::
388,Application API Button Hijacking,0.0,Medium,::Targeted software is utilizing application framework APIs::
41,Using Meta-characters in E-mail Headers to Inject Malicious Payloads,0.0,High,"::This attack targets most widely deployed feature rich email applications, including web based email programs.::"
332,ICMP IP 'ID' Field Error Message Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
537,Infiltration of Hardware Development Environment,0.0,High,::The victim must use email or removable media from systems running the IDE (or systems adjacent to the IDE systems).::The victim must have a system running exploitable applications and/or a vulnerable configuration to allow for initial infiltration.::The attacker must have working knowledge of some if not all of the components involved in the IDE system as well as the infrastructure.::
406,Dumpster Diving,0.0,Low,::An adversary must have physical access to the dumpster or downstream processing facility.::
384,Application API Message Manipulation via Man-in-the-Middle,0.0,Low,::Targeted software is utilizing application framework APIs::
551,Modify Existing Service,0.0,,
552,Install Rootkit,0.0,High,
34,HTTP Response Splitting,0.0,High,::User-controlled input used as part of HTTP header::Ability of adversary to inject custom strings in HTTP header::Insufficient input validation in application to check for input sanity before using it as part of response header::
386,Application API Navigation Remapping,0.0,Medium,::Targeted software is utilizing application framework APIs::
328,TCP 'RST' Flag Checksum Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
543,Counterfeit Websites,0.0,High,::None::
385,Transaction or Event Tampering via Application API Manipulation,0.0,Medium,::Targeted software is utilizing application framework APIs::
550,Install New Service,0.0,,
561,Windows Admin Shares with Stolen Credentials,0.0,,::The system/application is connected to the Windows domain.::The target administrative share allows remote use of local admin credentials to log into domain systems.::The adversary possesses a list of known Windows administrator credentials that exist on the target domain.::
193,PHP Remote File Inclusion,0.047,High,"::Target application server must allow remote files to be included in the require, include, etc. PHP directives::The adversary must have the ability to make HTTP requests to the target web application.::"
407,Pretexting,0.0,Low,::The adversary must have the means and knowledge of how to communicate with the target in some manner.The adversary must have knowledge of the pretext that would influence the actions of the specific target.::
559,Orbital Jamming,0.0,High,::This attack requires the knowledge of the satellite's coordinates for targeting.::
541,Application Fingerprinting,0.0,Low,::None::
639,Probe System Files,0.0,Medium,::An adversary has access to the file system of a system.::
627,Counterfeit GPS Signals,0.0,High,::The target must be relying on valid GPS signal to perform critical operations.::
609,Cellular Traffic Intercept,0.0,Low,::None::
424,Influence Perception of Consensus or Social Proof,0.0,Low,::The adversary must have the means and knowledge of how to communicate with the target in some manner.::
32,XSS Through HTTP Query Strings,0.0,High,::Target client software must allow scripting such as JavaScript. Server software must allow display of remote generated HTML without sufficient input or output validation.::
637,Collect Data from Clipboard,0.0,Low,"::The adversary must have a means (i.e., a pre-installed tool or background process) by which to collect data from the clipboard and store it. That is, when the target copies data to the clipboard (e.g., to paste into another application), the adversary needs some means of capturing that data in a third location.::"
573,Process Footprinting,0.0,Low,::The adversary must have gained access to the target system via physical or logical means in order to carry out this attack.::
634,Probe Audio and Video Peripherals,0.0,High,::Knowledge of the target device's or application’s vulnerabilities that can be capitalized on with malicious code. The adversary must be able to place the malicious code on the target device.::
397,Cloning Magnetic Strip Cards,0.0,,
433,Target Influence via The Human Buffer Overflow,0.0,Low,
68,Subvert Code-signing Facilities,0.0,Very High,"::A framework-based language that supports code signing (such as, and most commonly, Java or .NET)::Deployed code that has been signed by its authoring vendor, or a partner.::The attacker will, for most circumstances, also need to be able to place code in the victim container. This does not necessarily mean that they will have to subvert host-level security, except when explicitly indicated.::"
425,Target Influence via Framing,0.0,Low,::The adversary must have the means and knowledge of how to communicate with the target in some manner.::
575,Account Footprinting,0.0,Low,::The adversary must have gained access to the target system via physical or logical means in order to carry out this attack.::
400,RFID Chip Deactivation or Destruction,0.0,,
556,Replace File Extension Handlers,0.0,,
574,Services Footprinting,0.0,Low,::The adversary must have gained access to the target system via physical or logical means in order to carry out this attack.::
544,Counterfeit Organizations,0.0,High,::None::
545,Pull Data from System Resources,0.0,,
606,Weakening of Cellular Encryption,0.0,High,::Cellular devices that allow negotiating security modes to facilitate backwards compatibility and roaming on legacy networks.::
607,Obstruction,0.0,,
63,Cross-Site Scripting (XSS),0.0,Very High,"::Target client software must be a client that allows scripting communication from remote hosts, such as a JavaScript-enabled Web Browser.::"
650,Upload a Web Shell to a Web Server,0.0,High,::The web server is susceptible to one of the various web application exploits that allows for uploading a shell file.::
43,Exploiting Multiple Input Interpretation Layers,0.0,High,::User input is used to construct a command to be executed on the target system or as part of the file name.::Multiple parser passes are performed on the data supplied by the user.::
65,Sniff Application Code,0.0,High,"::The attacker must have the ability to place themself in the communication path between the client and server.::The targeted application must receive some application code from the server; for example, dynamic updates, patches, applets or scripts.::The attacker must be able to employ a sniffer on the network without being detected.::"
438,Modification During Manufacture,0.0,,
649,Adding a Space to a File Extension,0.0,Medium,::The use of the file must be controlled by the file extension.::
572,Artificially Inflate File Sizes,0.0,Medium,
439,Manipulation During Distribution,0.0,,
394,Using a Snap Gun Lock to Force a Lock,0.0,,
613,WiFi SSID Tracking,0.0,Low,::None::
612,WiFi MAC Address Tracking,0.0,Low,::None::
619,Signal Strength Tracking,0.0,Low,
391,Bypassing Physical Locks,0.0,,
628,Carry-Off GPS Attack,0.0,High,::The target must be relying on valid GPS signal to perform critical operations.::
605,Cellular Jamming,0.0,Low,"::Lack of anti-jam features in cellular technology (2G, 3G, 4G, LTE)::"
576,Group Permission Footprinting,0.0,Low,::The adversary must have gained access to the target system via physical or logical means in order to carry out this attack.::
393,Lock Picking,0.0,,
621,Analysis of Packet Timing and Sizes,0.0,Low,"::Use of untrusted communication paths enables an attacker to intercept and log communications, including metadata such as packet timing and sizes.::"
564,Run Software at Logon,0.0,,
33,HTTP Request Smuggling,0.012,High,::An additional HTTP entity such as an application firewall or a web caching proxy between the attacker and the second entity such as a web server::Differences in the way the two HTTP entities parse HTTP requests::
44,Overflow Binary Resource File,0.0,Very High,::Target software processes binary resource files.::Target software contains a buffer overflow vulnerability reachable through input from a user-controllable binary resource file.::
428,Influence via Modes of Thinking,0.0,Low,
565,Password Spraying,0.0,High,::The system/application uses one factor password based authentication.::The system/application does not have a sound password policy that is being enforced.::The system/application does not implement an effective password throttling mechanism.::The adversary possesses a list of known user accounts on the target system/application.::
603,Blockage,0.0,High,::This attack pattern requires knowledge of where important system resources are logically located as well as how they operate.::
67,String Format Overflow in syslog(),0.078,Very High,::The format string argument of the Syslog function can be tainted with user supplied data.::
547,Physical Destruction of Device or Component,0.0,,
604,Wi-Fi Jamming,0.0,High,::Lack of anti-jam features in 802.11::Lack of authentication on deauthentication/disassociation packets on 802.11-based networks::
591,Reflected XSS,0.0,Very High,::An application that leverages a client-side web browser with scripting enabled.::An application that fail to adequately sanitize or encode untrusted input.::
631,SoundSquatting,0.0,Medium,"::An adversary requires knowledge of popular or high traffic domains, that could be used to deceive potential targets.::"
608,Cryptanalysis of Cellular Encryption,0.0,High,::None::
398,Magnetic Strip Card Brute Force Attacks,0.0,,"::The ability to calculate a card checksum and write out a valid checksum value. Some cards are protected by a checksum calculation, therefore it is necessary to determine what algorithm is being used to calculate the checksum and to employ that algorithm to calculate and write a new valid checksum for the card being created.::"
399,Cloning RFID Cards or Chips,0.0,,
554,Functionality Bypass,0.0,High,
426,Influence via Incentives,0.0,Low,::The adversary must have the means and knowledge of how to communicate with the target in some manner.The adversary must have knowledge of the incentives that would influence the actions of the specific target.::
4,Using Alternative IP Address Encodings,0.0,High,::The target software must fail to anticipate all of the possible valid encodings of an IP/web address.::The adversary must have the ability to communicate with the server.::
35,Leverage Executable Code in Non-Executable Files,0.0,Very High,::The attacker must have the ability to modify non-executable files consumed by the target software.::
36,Using Unpublished Interfaces,0.013,High,"::The architecture under attack must publish or otherwise make available services that clients can attach to, either in an unauthenticated fashion, or having obtained an authentication token elsewhere. The service need not be 'discoverable', but in the event it isn't it must have some way of being discovered by an attacker. This might include listening on a well-known port. Ultimately, the likelihood of exploit depends on discoverability of the vulnerable service.::"
519,Documentation Alteration to Cause Errors in System Design,0.0,High,::Advanced knowledge of software capabilities of a manufacturer's product.::Access to the manufacturer's documentation.::
518,Documentation Alteration to Produce Under-performing Systems,0.0,High,::Advanced knowledge of software and hardware capabilities of a manufacturer's product.::Access to the manufacturer's documentation.::
632,Homograph Attack via Homoglyphs,0.0,Medium,"::An adversary requires knowledge of popular or high traffic domains, that could be used to deceive potential targets.::"
653,Use of Known Windows Credentials,0.0,High,"::The system/application is connected to the Windows domain.::The system/application uses one factor password-based authentication, SSO, and/or cloud-based authentication.::The system/application does not have a sound password policy that is being enforced.::The system/application does not implement an effective password throttling mechanism.::The adversary possesses a list of known Windows user accounts and corresponding passwords that may exist on the target.::"
522,Malicious Hardware Component Replacement,0.0,High,::Physical access to the system after it has left the manufacturer but before it is deployed at the victim location.::
635,Alternative Execution Due to Deceptive Filenames,0.0,High,::The use of the file must be controlled by the file extension.::
55,Rainbow Table Password Cracking,0.0,Medium,"::Hash of the original password is available to the attacker. For a better chance of success, an attacker should have more than one hash of the original password, and ideally the whole table.::Salt was not used to create the hash of the original password. Otherwise the rainbow tables have to be re-computed, which is very expensive and will make the attack effectively infeasible (especially if salt was added in iterations).::The system uses one factor password based authentication.::"
590,IP Address Blocking,0.0,High,::This attack requires the ability to conduct deep packet inspection with an In-Path device that can drop the targeted traffic and/or connection.::
625,Mobile Device Fault Injection,0.0,,
319,IP (DF) 'Don't Fragment Bit' Echoing Probe,0.0,Low,
326,TCP Initial Window Size Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
546,Probe Application Memory,0.0,Medium,::The cloud provider must not assuredly delete part or all of the sensitive data for which they are responsible.The adversary must have the ability to interact with the system.::
536,Data Injected During Configuration,0.0,High,::The attacker must have previously compromised the victim's systems or have physical access to the victim's systems.::Advanced knowledge of software and hardware capabilities of a manufacturer's product.::
534,Malicious Hardware Update,0.0,High,
535,Malicious Gray Market Hardware,0.0,High,"::Physical access to a gray market reseller's hardware components supply, or the ability to appear as a gray market reseller to the victim's buyer.::"
542,Targeted Malware,0.0,,
401,Physically Hacking Hardware,0.0,High,
601,Jamming,0.0,High,
154,Resource Location Spoofing,0.032,Medium,"::None. All applications rely on file paths and therefore, in theory, they or their resources could be affected by this type of attack.::"
390,Bypassing Physical Security,0.0,,
549,Local Execution of Code,0.0,High,::Knowledge of the target system's vulnerabilities that can be capitalized on with malicious code.The adversary must be able to place the malicious code on the target system.::
59,Session Credential Falsification through Prediction,0.0,High,"::The target host uses session IDs to keep track of the users.::Session IDs are used to control access to resources.::The session IDs used by the target host are predictable. For example, the session IDs are generated using predictable information (e.g., time).::"
614,Rooting SIM Cards,0.0,High,::A SIM card that relies on the DES cipher.::
589,DNS Blocking,0.0,,::This attack requires the ability to conduct deep packet inspection with an In-Path device that can drop the targeted traffic and/or connection.::
61,Session Fixation,0.0,High,::Session identifiers that remain unchanged when the privilege levels change.::Permissive session management mechanism that accepts random user-generated session identifiers::Predictable session identifiers::
648,Collect Data from Screen Capture,0.0,Medium,"::The adversary must have obtained logical access to the system by some means (e.g., via obtained credentials or planting malware on the system).::"
593,Session Hijacking,0.0,Very High,::An application that leverages sessions to perform authentication.::
610,Cellular Data Injection,0.0,High,::None::
592,Stored XSS,0.0,Very High,::An application that leverages a client-side web browser with scripting enabled.::An application that fails to adequately sanitize or encode untrusted input.::An application that stores information provided by the user in data storage of some kind.::
62,Cross Site Request Forgery,0.0,Very High,
646,Peripheral Footprinting,0.0,Medium,::The adversary needs either physical or remote access to the victim system.::
548,Contaminate Resource,0.0,,
423,Influence Perception of Liking,0.0,Low,::The adversary must have the means and knowledge of how to communicate with the target in some manner.The adversary must have knowledge of the types of things that the target likes.::
647,Collect Data from Registries,0.0,Medium,"::The adversary must have obtained logical access to the system by some means (e.g., via obtained credentials or planting malware on the system).::The adversary must have capability to navigate the operating system to peruse the registry.::"
38,Leveraging/Manipulating Configuration File Search Paths,0.013,Very High,::The attacker must be able to write to redirect search paths on the victim host.::
416,Manipulate Human Behavior,0.0,Medium,::The adversary must have the means and knowledge of how to communicate with the target in some manner.::
418,Influence Perception of Reciprocation,0.0,Medium,::The adversary must have the means and knowledge of how to communicate with the target in some manner.::
417,Influence Perception,0.0,Low,::The adversary must have the means and knowledge of how to communicate with the target in some manner.::
429,Target Influence via Eye Cues,0.0,Low,
37,Retrieve Embedded Sensitive Data,0.013,Very High,"::In order to feasibly execute this type of attack, some valuable data must be present in client software.::Additionally, this information must be unprotected, or protected in a flawed fashion, or through a mechanism that fails to resist reverse engineering, statistical, or other attack.::"
638,Altered Component Firmware,0.0,High,::Advanced knowledge about the installed target system design.::Advanced knowledge about the download and update installation processes.::Access to the download and update system(s) used to deliver BIOS images.::
181,Flash File Overlay,0.0,Medium,::The victim must be tricked into navigating to the attackers' decoy site and performing the actions on the decoy page.::The victim's browser must support invisible Flash overlays.::
555,Remote Services with Stolen Credentials,0.0,Very High,
330,ICMP Error Message Echoing Integrity Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
530,Provide Counterfeit Component,0.0,High,::Advanced knowledge about the target system and sub-components.::
159,Redirect Access to Libraries,0.0,Very High,::The target must utilize external libraries and must fail to verify the integrity of these libraries before using them.::
440,Hardware Integrity Attack,0.0,High,::Influence over the deployed system at a victim location.::
60,Reusing Session IDs (aka Session Replay),0.0,High,::The target host uses session IDs to keep track of the users.::Session IDs are used to control access to resources.::The session IDs used by the target host are not well protected from session theft.::
587,Cross Frame Scripting (XFS),0.0,High,::The user's browser must have vulnerabilities in its implementation of the same-origin policy. It allows certain data in a loaded page to originate from different servers/domains.::
560,Use of Known Domain Credentials,0.0,High,"::The system/application uses one factor password based authentication, SSO, and/or cloud-based authentication.::The system/application does not have a sound password policy that is being enforced.::The system/application does not implement an effective password throttling mechanism.::The adversary possesses a list of known user accounts and corresponding passwords that may exist on the target.::"
624,Hardware Fault Injection,0.0,High,::Physical access to the system::The adversary must be cognizant of where fault injection vulnerabilities exist in the system in order to leverage them for exploitation.::
622,Electromagnetic Side-Channel Attack,0.0,Low,::Proximal access to the device.::
52,Embedding NULL Bytes,0.0,High,::The program does not properly handle postfix NULL terminators::
600,Credential Stuffing,0.0,High,"::The system/application uses one factor password based authentication, SSO, and/or cloud-based authentication.::The system/application does not have a sound password policy that is being enforced.::The system/application does not implement an effective password throttling mechanism.::The adversary possesses a list of known user accounts and corresponding passwords that may exist on the target.::"
190,Reverse Engineer an Executable to Expose Assumed Hidden Functionality,0.043,Low,
329,ICMP Error Message Quoting Probe,0.0,Low,"::The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.::"
98,Phishing,0.0,Very High,::An attacker needs to have a way to initiate contact with the victim. Typically that will happen through e-mail.::An attacker needs to correctly guess the entity with which the victim does business and impersonate it. Most of the time phishers just use the most popular banks/services and send out their hooks to many potential victims.::An attacker needs to have a sufficiently compelling call to action to prompt the user to take action.::The replicated website needs to look extremely similar to the original website and the URL used to get to that website needs to look like the real URL of the said business entity.::
40,Manipulating Writeable Terminal Devices,0.0,Very High,::User terminals must have a permissive access control such as world writeable that allows normal users to control data on other user's terminals.::
633,Token Impersonation,0.0,Medium,"::This pattern of attack is only applicable when a downstream user leverages tokens to verify identity, and then takes action based on that identity.::"
611,BitSquatting,0.0,Medium,"::An adversary requires knowledge of popular or high traffic domains, that could be used to deceive potential targets.::"
427,Influence via Psychological Principles,0.0,Low,::The adversary must have the means and knowledge of how to communicate with the target in some manner.::
569,Collect Data as Provided by Users,0.0,,
212,Functionality Misuse,0.0,Medium,::The adversary has the capability to interact with the application directly.The target system does not adequately implement safeguards to prevent misuse of authorized actions/processes.::
645,Use of Captured Tickets (Pass The Ticket),0.0,High,::The adversary needs physical access to the victim system.::The use of a third-party credential harvesting tool.::
623,Compromising Emanations Attack,0.0,Low,::Proximal access to the device.::
643,Identify Shared Files/Directories on System,0.0,Medium,"::The adversary must have obtained logical access to the system by some means (e.g., via obtained credentials or planting malware on the system).::"
642,Replace Binaries,0.0,High,::The attacker must be able to place the malicious binary on the target machine.::
277,Data Interchange Protocol Manipulation,0.0,,
276,Inter-component Protocol Manipulation,0.0,,
539,ASIC With Malicious Functionality,0.0,High,::The attacker must have working knowledge of some if not all of the components involved in the target system as well as the infrastructure and development environment of the manufacturer.::Advanced knowledge about the ASIC installed within the target system.::
278,Web Services Protocol Manipulation,0.0,,::The targeted application or service must rely on web service protocols in such a way that malicious manipulation of them can alter functionality.::
287,TCP SYN Scan,0.0,Low,::This scan type is not possible with some operating systems (Windows XP SP 2). On Linux and Unix systems it requires root privileges to use raw sockets.::
279,SOAP Manipulation,0.0,High,"::An application uses SOAP-based web service api.::An application does not perform sufficient input validation to ensure that user-controllable data is safe for an XML parser.::The targeted server either fails to verify that data in SOAP messages conforms to the appropriate XML schema, or it fails to correctly handle the complete range of data allowed by the schema.::"
641,DLL Side-Loading,0.0,High,::The target must fail to verify the integrity of the DLL before using them.::
261,Fuzzing for garnering other adjacent user/sensitive data,0.0,Medium,::The server must assume that the queries it receives follow specific templates and/or have fields or attributes that follow specific procedures. The server must process queries that it receives without adequately checking or sanitizing queries to ensure they follow these templates.::
285,ICMP Echo Request Ping,0.0,Low,::The ability to send an ICMP type 8 query (Echo Request) to a remote target and receive an ICMP type 0 message (ICMP Echo Reply) in response. Any firewalls or access control lists between the sender and receiver must allow ICMP Type 8 and ICMP Type 0 messages in order for a ping operation to succeed.::
596,TCP RST Injection,0.0,,::An On/In Path Device::
651,Eavesdropping,0.0,Medium,"::The adversary typically requires physical proximity to the target's environment, whether for physical eavesdropping or for placing recording equipment. This is not always the case for software-based eavesdropping, if the adversary has the capability to install malware on the target system that can activate a microphone and record audio digitally.::"
273,HTTP Response Smuggling,0.0,Medium,::The targeted server must allow the attacker to insert content that will appear in the server's response.::
26,Leveraging Race Conditions,0.0,High,::A resource is accessed/modified concurrently by multiple processes such that a race condition exists.::The adversary has the ability to modify the resource.::
134,Email Injection,0.0,Medium,"::The target application must allow the user to send email to some recipient, to specify the content at least one header field in the message, and must fail to sanitize against the injection of command separators.::The adversary must have the ability to access the target mail application.::"
123,Buffer Manipulation,0.061,Very High,"::The adversary must identify a programmatic means for interacting with a buffer, such as vulnerable C code, and be able to provide input to this interaction.::"
230,XML Nested Payloads,0.013,High,::An application uses an XML parser to perform transformation on user-controllable data.::An application does not perform sufficient validation to ensure that user-controllable data is safe for an XML parser.::
272,Protocol Manipulation,0.0,Medium,::The protocol or implementations thereof must contain bugs that an adversary can exploit.::
271,Schema Poisoning,0.0,High,::Some level of access to modify the target schema.::The schema used by the target application must be improperly secured against unauthorized modification and manipulation.::
620,Drop Encryption Level,0.0,High,
124,Shared Resource Manipulation,0.0,Medium,"::The target applications, threads or functions must share resources between themselves.::The adversary must be able to manipulate some piece of the shared resource either directly or indirectly and the other users of the data must accept the changed data as valid. Usually this requires that the adversary be able to compromise one of the sharing applications or threads in order to manipulate the shared data.::"
130,Excessive Allocation,0.059,Medium,::The target must accept service requests from the attacker and the adversary must be able to control the resource allocation associated with this request to be in excess of the normal allocation. The latter is usually accomplished through the presence of a bug on the target that allows the adversary to manipulate variables used in the allocation.::
234,Hijacking a privileged process,0.036,Medium,::The targeted process or operating system must contain a bug that allows attackers to hijack the targeted process.::
586,Object Injection,0.0,High,::The target application must unserialize data before validation.::
126,Path Traversal,0.0,Very High,::The attacker must be able to control the path that is requested of the target.::The target must fail to adequately sanitize incoming paths::
585,DNS Domain Seizure,0.0,,::This attack pattern requires that the adversary has cooperation from the registrar of the target domain.::
105,HTTP Request Splitting,0.0,High,::User-manipulateable HTTP Request headers are processed by the web server::
571,Block Logging to Central Repository,0.0,Low,
8,Buffer Overflow in an API Call,0.0,High,::The target host exposes an API to the user.::One or more API functions exposed by the target host has a buffer overflow vulnerability.::
582,Route Disabling,0.0,High,::The adversary requires knowledge of and access to network route.::
179,Calling Micro-Services Directly,0.0,Medium,::The target site must use micro-services that interact with the server and one or more of these micro-services must be vulnerable to some other attack pattern.::
636,Hiding Malicious Data or Code within Files,0.0,High,::The operating system must support a file system that allows for alternate data storage for a file.::
155,Screen Temporary Files for Sensitive Information,0.0,Medium,::The target application must utilize temporary files and must fail to adequately secure them against other parties reading them.::
275,DNS Rebinding,0.0,Very High,::The target browser must access content server from the adversary controlled DNS name. Web advertisements are often used for this purpose. The target browser must honor the TTL value returned by the adversary and re-resolve the adversary's DNS name after initial contact.::
178,Cross-Site Flashing,0.0,Medium,::The targeted Flash application must reference external URLs and the locations thus referenced must be controllable through parameters. The Flash application must fail to sanitize such parameters against malicious manipulation. The victim must follow a crafted link created by the attacker.::
274,HTTP Verb Tampering,0.0,Medium,::The targeted system must attempt to filter access based on the HTTP verb used in requests.::
644,Use of Captured Hashes (Pass The Hash),0.0,High,::The system/application is connected to the Windows domain.::The system/application leverages the Lan Man (LM) and/or NT Lan Man (NTLM) authentication protocols.::The adversary possesses known Windows credential hash value pairs that exist on the target domain.::
595,Connection Reset,0.0,,::This attack requires the ability to monitor the target's network connection.::
158,Sniffing Network Traffic,0.0,Medium,"::The target must be communicating on a network protocol visible by a network sniffing application.::The adversary must obtain a logical position on the network from intercepting target network traffic is possible. Depending on the network topology, traffic sniffing may be simple or challenging. If both the target sender and target recipient are members of a single subnet, the adversary must also be on that subnet in order to see their traffic communication.::"
578,Disable Security Software,0.0,Medium,::The adversary must have the capability to interact with the configuration of the targeted system.::
594,Traffic Injection,0.0,,"::The target application must leverage an open communications channel.::The channel on which the target communicates must be vulnerable to interception (e.g., man in the middle attack).::"
58,Restful Privilege Elevation,0.0,High,::The attacker needs to be able to identify HTTP Get URLs. The Get methods must be set to call applications that perform operations other than get such as update and delete.::
169,Footprinting,0.0,Very Low,"::An application must publicize identifiable information about the system or application through voluntary or involuntary means. Certain identification details of information systems are visible on communication networks (e.g., if an adversary uses a sniffer to inspect the traffic) due to their inherent structure and protocol standards. Any system or network that can be detected can be footprinted. However, some configuration choices may limit the useful information that can be collected during a footprinting attack.::"
307,TCP RPC Scan,0.0,Low,::RPC scanning requires no special privileges when it is performed via a native system utility.::
640,Inclusion of Code in Existing Process,0.0,High,::The targeted application fails to verify the integrity of the running process that allows an adversary to execute arbitrary code.::
597,Absolute Path Traversal,0.0,,::The target must leverage and access an underlying file system.::
188,Reverse Engineering,0.032,Low,"::Access to targeted system, resources, and information.::"
131,Resource Leak Exposure,0.044,Medium,::The target must have a resource leak that the adversary can repeatedly trigger.::
160,Exploit Script-Based APIs,0.0,Medium,::The target application must include the use of APIs that execute scripts.::The target application must allow the attacker to provide some or all of the arguments to one of these script interpretation methods and must fail to adequately filter these arguments for dangerous or unwanted script commands.::
219,XML Routing Detour Attacks,0.034,Medium,::The targeted system must have multiple stages processing of XML content.::
617,Cellular Rogue Base Station,0.0,Low,::None::
654,Credential Prompt Impersonation,0.0,High,::The adversary must already have access to the target system via some means.::A legitimate task must exist that an adversary can impersonate to glean credentials.::
170,Web Application Fingerprinting,0.0,Low,"::Any web application can be fingerprinted. However, some configuration choices can limit the useful information an attacker may collect during a fingerprinting attack.::"
54,Query System for Information,0.0,Low,"::This class of attacks does not strictly require authorized access to the application. As Attackers use this attack process to classify, map, and identify vulnerable aspects of an application, it simply requires hypotheses to be verified, interaction with the application, and time to conduct trial-and-error activities.::"
